id,internal_code
fe6f7f19-c1aa-49f2-8c3c-6c09518398ff,BMIAN006
5eac6a40-ca6e-46f1-85ff-fee70fabac96,BMIBAT021
f2992688-ab96-4005-9b99-a66c66d97d83,BMIBAT026
3b476ff0-81ec-404c-af69-41a23390a9ac,BMIBAT027
a11d3816-9778-4fb4-ab0c-af7f23ea055b,BMIBAT028
25f5390b-b37d-4a90-b026-7989c88b23df,BMIBAT029
766521f8-ac8a-486a-b988-6ea975fe2552,BMIBAT030
322ecdeb-f07d-4b24-814d-79a867ee54fc,BMIBAT034
02241e93-96dc-41c0-8f42-3d3eb3cff0d8,BMIBAT035
3afcfc1b-8672-49ba-91a5-7043286332d5,BMIBAT036
c0a342a1-f5e9-49e8-ba3d-c3f4748ca4fe,BMISG007
d7fa88a3-aea1-4665-adb9-08688b6ed37f,BMICM001
fd27e82d-a5b4-4318-ba73-000156bc7176,BMICO001
8cda2407-37dc-4ef8-8922-ea9b249dda27,BMIBAT025
7bbf238b-19da-4b92-8239-d72984a6fc7e,BMIBAT031
d7208017-d2d1-46f6-aa22-70830755c6cf,BMIBAT032
4554968d-2cb1-4c85-bd04-02beb6a773fe,BMIBAT033
8c6cecc1-b4a4-4fd5-9c0a-bee145ee5f1a,BMIBAT039
e578da38-f8db-4081-87f2-a96525eef934,BMIBAT040
c270e902-8538-4059-8507-e58315f83629,BMIBAT052
29402fb8-7fd0-4718-848f-ff011e6464a1,BMIBAT011
801381c6-0b70-4a5f-b97d-ea54e33e85cc,BMIBAT012
14471f5b-d20f-42bb-8a1b-704e3574455a,BMIBAT044
f288f688-bd09-465a-bccd-de8c43241b38,BMIBAT045
52e34673-68ee-4c1d-b2d8-53943d3e0b30,BMIBAT046
915e52f7-15f0-42b8-977c-22aa7641808c,BMIBAT047
f14f3683-1363-41ef-9c95-1c9a27b38346,BMIBAT048
e96b8a12-5bd3-46c5-9d1a-3e0003871ebc,BMIBAT050
84be35fd-ad87-439a-b100-ed18308f4591,BMIBAT051
3cd44de7-31bb-4ecc-96b2-10514f233f35,BMIBAT053
c6cbdd47-9e02-457c-a474-5846ff0c1f7d,BMIPRICENG_013_REVIEW
7a764293-8fa6-4701-ae27-437921433fe9,BMIBAT003
c1c7abab-0b00-4248-aa62-3b5fbab13b48,BMIBAT004
887af56f-b429-4db8-a7ce-76e62f620172,BMIBAT005
503c2f9a-4cd5-4234-b0dc-f614a752f74a,BMIBAT017
3b79b8b3-907d-4a30-95cf-3cc47b6f54a9,BMIBAT018
9811d167-936a-476f-9488-605a4cdd093d,BMING001
ca86517c-2b3f-45e4-9caa-d4bbaf80f80a,BMING005
b52245ee-395d-460c-b1c3-e8eb78e2a423,BMING006
498fa2d8-29f4-444e-b6ce-e2e782d51252,BMIBAT008
3a16b3da-852a-4492-b622-d669803a0055,BMIPRICENG_011_REVIEW
fc548a31-2b78-4d3c-b031-27a3f2b3460c,BMICA004
2904df75-d7b4-4175-8983-40fea47b4628,BMICA006
605beffd-f539-491d-9cd9-52ca78b1d1cf,BMIMHP002
ddf34bbb-5b99-4571-a0ae-07039aab62e0,BMING007
84f13a9b-aba7-4e34-9bde-5cc3f4fb3044,BMING008
123ba6c6-5cf0-4348-a6ff-6734f76e160a,BMING009
9ce329bc-c275-467a-9a08-9efdc4056f9b,BMING013
6fbf4650-70c3-4d05-89bd-30ebfe50ac2d,BMISG003
17417f99-09bc-44cc-b9ea-f73c67a7c6d7,BMISG004
4bf0f184-684b-4535-b543-b0a66bf5d9bb,BMISG006
ecb0ed51-b1b7-4efa-a441-dafd342214d6,BMIELE001
43456ee8-892a-401b-9470-fdd557e4a619,BMIMHP005
21125ef9-a0b1-46c9-9575-782370c54041,BMICA001
